사용본거지법정동명	동별 총 대수	휘발유	경유	엘피지	전기	휘발유_유연	휘발유_무연	CNG	하이브리드_휘발유_전기	하이브리드_경유_전기	하이브리드_LPG+전기	하이브리드_CNG+전기	수소	기타연료
서울특별시 종로구 청운동	764 	231 	244 	26 	4 	1 	229 		27 		1 			1 
서울특별시 종로구 신교동	360 	83 	128 	21 	2 		116 		10 					
서울특별시 종로구 궁정동	48 	11 	16 	2 			17 		2 					
서울특별시 종로구 효자동	208 	64 	79 	8 	1 		50 		6 					
서울특별시 종로구 창성동	138 	41 	43 	6 			43 		5 					
서울특별시 종로구 통의동	155 	34 	63 	7 			48 		3 					
서울특별시 종로구 적선동	190 	42 	84 	6 			51 		7 					
서울특별시 종로구 통인동	214 	62 	69 	14 			65 		4 					
서울특별시 종로구 누상동	827 	182 	290 	72 	1 	1 	255 		23 					3 
서울특별시 종로구 누하동	213 	52 	85 	14 			58 		4 					
서울특별시 종로구 옥인동	650 	153 	209 	38 	3 	1 	201 		20 					25 
서울특별시 종로구 체부동	170 	36 	52 	14 			58 		9 				1 	
서울특별시 종로구 필운동	323 	67 	126 	18 			100 		7 					5 
서울특별시 종로구 내자동	3,159 	175 	1,845 	6 	6 		1,106 		15 		2 			4 
서울특별시 종로구 사직동	1,031 	353 	291 	40 	4 		304 		38 					1 
서울특별시 종로구 도렴동	109 	20 	28 				52 		5 		3 			1 
서울특별시 종로구 당주동	341 	76 	139 	9 			106 		10 					1 
서울특별시 종로구 내수동	1,189 	389 	335 	19 	1 	2 	341 		48 		1 			53 
서울특별시 종로구 세종로	389 	76 	134 	2 	6 		137 		25 		6 		3 	
서울특별시 종로구 신문로1가	996 	120 	306 	35 	2 		508 	1 	23 		1 			
서울특별시 종로구 신문로2가	402 	65 	221 	18 			89 		9 					
서울특별시 종로구 청진동	224 	70 	48 	4 	2 		93 		7 					
서울특별시 종로구 서린동	272 	26 	128 	9 	6 		92 		6 		2 		2 	1 
서울특별시 종로구 수송동	763 	121 	366 	13 	25 		174 	18 	24 		2 			20 
서울특별시 종로구 중학동	51 	12 	26 				13 							
서울특별시 종로구 종로1가	269 	54 	115 	14 			80 		6 					
서울특별시 종로구 공평동	70 	13 	13 				42 		1 				1 	
서울특별시 종로구 관훈동	200 	49 	109 	6 			33 		2 					1 
서울특별시 종로구 견지동	206 	73 	68 	6 			54 	1 	4 					
서울특별시 종로구 와룡동	80 	15 	34 	3 			24 		4 					
서울특별시 종로구 권농동	68 	16 	20 	10 			21 		1 					
서울특별시 종로구 운니동	198 	36 	120 	6 			35 		1 					
서울특별시 종로구 익선동	308 	80 	115 	13 	1 		93 		6 					
서울특별시 종로구 경운동	208 	51 	88 	4 	1 		63 		1 					
서울특별시 종로구 관철동	137 	34 	48 	1 			43 		10 					1 
서울특별시 종로구 인사동	267 	72 	89 	7 			89 	1 	2 					7 
서울특별시 종로구 낙원동	319 	83 	131 	19 		1 	79 		6 					
서울특별시 종로구 종로2가	128 	37 	46 	2 			41 		1 					1 
서울특별시 종로구 팔판동	86 	19 	32 	5 	2 		27 		1 					
서울특별시 종로구 삼청동	437 	108 	164 	27 	3 		123 		12 					
서울특별시 종로구 안국동	138 	36 	58 	6 			34 		4 					
서울특별시 종로구 소격동	60 	18 	18 	5 			15 		4 					
서울특별시 종로구 화동	51 	16 	18 	3 			13 		1 					
서울특별시 종로구 사간동	57 	13 	22 	5 	1 		16 							
서울특별시 종로구 송현동	2 		1 				1 							
서울특별시 종로구 가회동	287 	89 	89 	13 	3 		84 		9 					
서울특별시 종로구 재동	227 	11 	163 				52 		1 					
서울특별시 종로구 계동	364 	62 	158 	19 	4 		109 		7 				2 	3 
서울특별시 종로구 원서동	447 	127 	151 	25 			131 		11 				1 	1 
서울특별시 종로구 훈정동	1 		1 											
서울특별시 종로구 묘동	69 	16 	25 	5 			22 							1 
서울특별시 종로구 봉익동	103 	22 	48 	2 			27 	1 	3 					
서울특별시 종로구 돈의동	189 	30 	93 	18 			43 		5 					
서울특별시 종로구 장사동	338 	70 	172 	17 			72 		7 					
서울특별시 종로구 관수동	154 	28 	86 	6 			31 		3 					
서울특별시 종로구 종로3가	69 	21 	29 	3 			13 	1 	2 					
서울특별시 종로구 인의동	441 	114 	179 	9 	2 		125 		12 					
서울특별시 종로구 예지동	78 	14 	31 	1 			31 		1 					
서울특별시 종로구 원남동	264 	38 	165 	12 			45 		4 					
서울특별시 종로구 연지동	429 	83 	201 	25 			117 		3 					
서울특별시 종로구 종로4가	51 	12 	19 	4 			15 		1 					
서울특별시 종로구 효제동	226 	48 	103 	14 			60 		1 					
서울특별시 종로구 종로5가	112 	21 	40 	9 	1 		37 		3 					1 
서울특별시 종로구 종로6가	490 	66 	276 	32 	3 		106 		3 					4 
서울특별시 종로구 이화동	436 	101 	163 	35 			130 		3 					4 
서울특별시 종로구 연건동	369 	85 	164 	12 			97 		10 		1 			
서울특별시 종로구 충신동	668 	126 	260 	72 			199 		10 					1 
서울특별시 종로구 동숭동	918 	219 	339 	62 	4 		280 		14 					
서울특별시 종로구 혜화동	836 	166 	251 	55 	1 		260 	82 	21 					
서울특별시 종로구 명륜1가	948 	249 	329 	70 		1 	279 		19 		1 			
서울특별시 종로구 명륜2가	738 	188 	207 	42 	1 		274 		25 					1 
서울특별시 종로구 명륜4가	182 	34 	78 	11 			54 		5 					
서울특별시 종로구 명륜3가	849 	159 	341 	82 			240 		24 		2 			1 
서울특별시 종로구 창신동	4,429 	871 	1,797 	363 	6 	1 	1,301 	5 	76 		2 			7 
서울특별시 종로구 숭인동	3,753 	809 	1,464 	297 	1 		1,118 		53 	2 	4 			5 
서울특별시 종로구 교남동	262 	79 	65 	14 			93 		9 		2 			
서울특별시 종로구 평동	536 	161 	179 	15 			149 		27 		1 			4 
서울특별시 종로구 송월동	299 	97 	82 	7 			107 		6 					
서울특별시 종로구 홍파동	532 	169 	165 	18 	1 	1 	154 		23 					1 
서울특별시 종로구 교북동	296 	97 	85 	9 	2 		83 		19 					1 
서울특별시 종로구 행촌동	924 	175 	327 	89 	2 		303 	6 	20 		1 			1 
서울특별시 종로구 구기동	1,954 	581 	619 	87 	8 		582 		73 		1 			3 
서울특별시 종로구 평창동	4,547 	1,444 	1,442 	177 	22 		1,270 		184 					8 
서울특별시 종로구 부암동	1,439 	395 	480 	76 	6 	1 	414 		60 		3 			4 
서울특별시 종로구 홍지동	532 	137 	173 	31 			174 		16 					1 
서울특별시 종로구 신영동	1,129 	267 	417 	60 	3 		347 		31 		4 			
서울특별시 종로구 무악동	2,796 	661 	1,007 	160 	3 		849 		112 					4 
서울특별시 중구 무교동	252 	88 	67 	13 	2 		73 		9 					
서울특별시 중구 다동	189 	58 	58 	4 			50 		18 					1 
서울특별시 중구 태평로1가	973 	70 	714 	40 	46 		65 	6 	21 		10 			1 
서울특별시 중구 을지로1가	117 	32 	44 	4 			34 		2 					1 
서울특별시 중구 을지로2가	1,092 	138 	572 	70 	7 		167 		51 	1 				86 
서울특별시 중구 남대문로1가	18 	2 	11 				5 							
서울특별시 중구 삼각동	62 	17 	15 				20 		10 					
서울특별시 중구 수하동	187 	43 	83 		7 		47 		5 					2 
서울특별시 중구 장교동	158 	49 	47 	1 			53 		3 					5 
서울특별시 중구 수표동	361 	68 	195 	22 			73 		2 					1 
서울특별시 중구 소공동	629 	145 	223 	19 	1 		200 		7 				1 	33 
서울특별시 중구 남창동	263 	55 	125 	17 			59 		6 					1 
서울특별시 중구 북창동	255 	62 	97 	6 			71 		9 					10 
서울특별시 중구 태평로2가	271 	63 	86 	7 	1 		107 		7 					
서울특별시 중구 남대문로2가	1,469 	171 	681 	119 	28 		265 		188 					17 
서울특별시 중구 남대문로3가	45 	5 	16 				16 		7 		1 			
서울특별시 중구 남대문로4가	163 	39 	53 				70 		1 					
서울특별시 중구 남대문로5가	1,365 	409 	716 	10 			207 		19 					4 
서울특별시 중구 봉래동1가	261 	28 	195 	3 			28 		6 					1 
서울특별시 중구 봉래동2가	52 	5 	36 	3 			4 		4 					
서울특별시 중구 회현동1가	1,161 	331 	463 	53 	5 	1 	277 		31 					
서울특별시 중구 회현동2가	1,817 	654 	976 	16 	13 		124 		32 					2 
서울특별시 중구 회현동3가	49 	9 	18 	1 			21 							
서울특별시 중구 충무로1가	183 	47 	75 	15 			45 		1 					
서울특별시 중구 충무로2가	318 	98 	109 	11 	2 		94 	1 	1 					2 
서울특별시 중구 명동1가	96 	17 	40 	3 			34 		2 					
서울특별시 중구 명동2가	488 	63 	315 	11 	1 		90 		8 					
서울특별시 중구 남산동1가	92 	9 	41 	8 	2 		31 		1 					
서울특별시 중구 남산동2가	234 	48 	105 	10 		1 	63 	2 	5 					
서울특별시 중구 남산동3가	91 	24 	39 				24 		2 					2 
서울특별시 중구 저동1가	80 	20 	18 	2 	2 		37 		1 					
서울특별시 중구 충무로4가	641 	177 	236 	26 			184 		18 					
서울특별시 중구 충무로5가	259 	61 	107 	8 	1 		75 		5 					2 
서울특별시 중구 인현동2가	202 	53 	90 	14 			39 		5 					1 
서울특별시 중구 예관동	262 	34 	156 	10 	20 		31 	5 	5 					1 
서울특별시 중구 묵정동	306 	71 	136 	23 	1 		69 		6 					
서울특별시 중구 필동1가	186 	59 	75 	5 	1 		43 		3 					
서울특별시 중구 필동2가	529 	128 	202 	20 		2 	165 	1 	9 					2 
서울특별시 중구 필동3가	428 	91 	159 	37 			131 		9 					1 
서울특별시 중구 남학동	19 	7 	4 				8 							
서울특별시 중구 주자동	28 	7 	9 	1 			10 		1 					
서울특별시 중구 예장동	383 	77 	171 	25 	10 		82 		14 		1 			3 
서울특별시 중구 장충동1가	611 	158 	223 	47 	7 		159 		15 					2 
서울특별시 중구 장충동2가	797 	145 	352 	56 	10 		209 		17 		2 		1 	5 
서울특별시 중구 광희동1가	241 	48 	109 	15 			66 		3 					
서울특별시 중구 광희동2가	224 	39 	93 	21 			64 		4 					3 
서울특별시 중구 쌍림동	300 	68 	140 	17 			70 		5 					
서울특별시 중구 을지로6가	216 	50 	106 	10 	1 		42 		5 		1 			1 
서울특별시 중구 을지로7가	53 	13 	21 	3 			10 		1 					5 
서울특별시 중구 을지로4가	105 	37 	45 	3 			19 		1 					
서울특별시 중구 을지로5가	218 	42 	111 	15 			46 		4 					
